NAME,B01003_001E,B19013_001E,B25064_001E,B25077_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B23025_003E,B23025_005E,state,county,tract
"Census Tract 4001, Alameda County, California",2952,174113,2944,1098000,756,595,364,214,1613,91,06,001,400100
"Census Tract 4008, Alameda County, California",3527,59886,1355,458700,774,420,118,71,2346,260,06,001,400800
"Census Tract 4010, Alameda County, California",5987,44766,1147,358100,873,551,52,23,3704,342,06,001,401000
"Census Tract 4007, Alameda County, California",4544,39614,1155,572300,817,419,87,57,2392,250,06,001,400700
"Census Tract 4027, Alameda County, California",1831,40169,1123,364300,230,71,24,0,1075,89,06,001,402700
"Census Tract 4029, Alameda County, California",1458,31319,842,-666666666,318,100,20,14,782,62,06,001,402900
"Census Tract 4034, Alameda County, California",4361,42982,1067,410900,1316,557,140,163,2822,149,06,001,403400
"Census Tract 4046, Alameda County, California",4314,155000,3010,822800,1326,729,333,193,2528,90,06,001,404600
"Census Tract 4062.01, Alameda County, California",4252,34694,989,240000,294,94,0,59,2297,429,06,001,406201
"Census Tract 4068, Alameda County, California",3484,86629,1395,606500,658,476,107,78,2228,208,06,001,406800
